*MISC		
*Name	VersionMin	Bits
ST00		10
ST00	0x05000063	11
ST00	0x08000063	21
ST01		10
ST01	0x05000063	11
ST01	0x08000063	21
ST02		10
ST02	0x05000063	11
ST02	0x08000063	21
ST03		10
ST03	0x05000063	11
ST03	0x08000063	21
ST04		10
ST04	0x03000063	12
ST05		8
ST05	0x03000063	10
ST06		21
ST06	0x06000063	22
ST07		21
ST07	0x06000063	23
ST08		21
ST08	0x06000063	22
ST09		21
ST09	0x06000063	23
ST0A		21
ST0B		21
ST0B	0x06000063	22
ST0C		7
ST0C	0x06000063	9
ST0C	0x07000063	10
ST0D		32
ST0E		25
ST0E	0x05000063	32
ST0E	0x06000063	26
ST0F		25
ST0F	0x05000063	32
ST0F	0x06000063	26
*		
MDUR		8
MDUR	0x05000063	12
CDUR		9
CDUR	0x05000063	12
