*PROP																		
*ID	VersionMin	DefaultValue	Arg1Bits	Base1	Min1	Max1	Arg2Bits	Base2	Min2	Max2	Arg3Bits	Base3	Min3	Max3	Arg4Bits	Base4	Min4	Max4
0			8	-32														
0	0x05000063		5	-8														
0	0x06000063		11	-32														
0	0x07000063		11	-32														
0	0x08000063		15	-32														
1			7	-32														
1	0x05000063		5	-8														
1	0x06000063		10	-32														
1	0x07000063		11	-32														
1	0x08000063		15	-32														
2			7	-32														
2	0x05000063		5	-8														
2	0x06000063		10	-32														
2	0x07000063		11	-32														
2	0x08000063		15	-32														
3			7	-32														
3	0x05000063		5	-8														
3	0x06000063		10	-32														
3	0x07000063		11	-32														
3	0x08000063		15	-32														
4																		
5																		
6																		
7			9	-32														
8																		
9			8	-32														
10																		
11			8	-32														
12																		
13																		
14																		
15																		
16			9															
17			9				9											
17	0x07000063		10				10											
18			9															
19			10															
20			6															
21			6															
21	0x03000063		11															
21	0x05000063		8															
21	0x06000063		8															
21	0x07000063		9															
22			7															
22	0x03000063		11															
22	0x05000063		9															
22	0x06000063		9															
22	0x07000063		10															
23			6															
23	0x05000063		8															
23	0x06000063		8															
23	0x07000063		9															
24			7															
24	0x05000063		9															
24	0x06000063		9															
24	0x07000063		10															
25			8															
26			8															
27			8															
28			8															
29																		
30																		
31			11	-10														
32			9															
33			8															
34			6															
35			6															
36			8															
36	0x63		9	-200														
36	0x01000063		8	-200														
36	0x05000063		4	0														
36	0x07000063		10	-200														
37			8															
37	0x63		9	-200														
37	0x01000063		8	-200														
37	0x05000063		4	0														
37	0x07000063		10	-200														
38			5															
39			8	-50														
39	0x63		9	-200														
39	0x01000063		8	-200														
39	0x05000063		8	-200														
39	0x07000063		10	-200														
39	0x08000063		15	-200														
40			5															
41			8	-50														
41	0x63		9	-200														
41	0x01000063		8	-200														
41	0x05000063		8	-200														
41	0x07000063		10	-200														
41	0x08000063		15	-200														
42			5															
43			8	-50														
43	0x63		9	-200														
43	0x01000063		8	-200														
43	0x05000063		8	-200														
43	0x07000063		10	-200														
43	0x08000063		15	-200														
44			5															
45			8	-50														
45	0x63		9	-200														
45	0x01000063		8	-200														
45	0x05000063		8	-200														
45	0x07000063		10	-200														
45	0x08000063		15	-200														
46			5															
47																		
48			8				9											
48	0x01000063		10				10											
48	0x03000063		11				11											
48	0x07000063		12				13											
49			9															
50			6				10											
50	0x01000063		10				10											
50	0x02000063		32				32											
50	0x03000063		11				11											
50	0x07000063		8				14											
51			10															
52			8				9											
52	0x01000063		10				10											
52	0x03000063		11				11											
52	0x07000063		11				13											
53			9															
